Volume,Gen1,Gen3,C20,C25,C30,C35,C40
0.25,199.73,202.09,202.42,205.15,206.53,207.9,209.23
0.5,199.73,202.09,202.42,205.15,206.53,207.9,209.23
0.75,199.73,202.09,202.42,205.15,206.53,207.9,209.23
1,199.73,202.09,202.42,205.15,206.53,207.90,209.23
1.25,227.16,230.11,230.53,233.94,235.66,237.38,239.04
1.5,254.6,258.14,258.63,262.73,264.80,266.85,268.85
1.75,282.03,286.16,286.74,291.51,293.93,296.33,298.65
2,309.46,314.18,314.84,320.30,323.06,325.80,328.46
2.25,336.89,342.20,342.95,349.09,352.20,355.28,358.27
2.5,364.33,370.23,371.05,377.87,381.33,384.75,388.07
2.75,391.76,398.25,399.16,406.66,410.46,414.23,417.88
3,419.19,426.27,427.26,435.45,439.59,443.70,447.69
3.25,446.62,454.29,455.37,464.24,468.73,473.18,477.50
3.5,474.06,482.32,483.47,493.02,497.86,502.65,507.30
3.75,501.49,510.34,511.58,521.81,526.99,532.13,537.11
4,528.92,538.36,539.68,550.60,556.13,561.60,566.92
4.25,556.35,566.38,567.79,579.38,585.26,591.08,596.72
4.5,583.79,594.41,595.89,608.17,614.39,620.55,626.53
4.75,611.22,622.43,624.00,636.96,643.53,650.03,656.34
5,628.65,650.45,539.68,550.60,556.12,561.60,566.92
5.25,663.73,678.47,653.75,667.44,674.37,681.24,687.90
5.5,690.97,706.49,679.66,693.97,701.22,708.40,715.37
5.75,718.2,734.52,705.56,720.50,728.07,735.56,742.84
6,748.38,762.54,764.52,780.90,789.18,797.40,805.38
6.25,773.24,790.56,763.66,780.01,788.29,796.49,804.46
6.5,800.51,818.58,789.99,806.98,815.58,824.11,832.38
6.75,827.79,846.61,816.32,833.95,842.87,851.72,860.31
7,873.11,889.63,891.94,911.05,920.71,930.30,939.61
7.25,885.22,905.05,876.86,895.91,905.55,915.10,924.38
7.5,912.67,933.21,903.65,923.34,933.31,943.19,952.78
7.75,940.1,961.37,930.43,950.77,961.07,971.27,981.17
8,997.84,1016.72,1019.36,1041.2,1052.24,1063.2,1073.84
